taxonID,description,type,creator,language,license
http://www.floraislands.is/vaccimyr.html,"er algengt í snjóþungum héruðum á landinu. Þannig er það mjög útbreitt á Vestfjörðum, í útsveitum á Norðurlandi frá Skaga austur á Austfirði og víðar. Þar sem ekki er nógu snjóþungt fyrir það á láglendi má oft finna það þegar kemur í 300-500 m hæð yfir sjó. Þannig vex það víða á Suðvestur- og Vesturlandi og einnig í innsveitum Eyjafjarðar. Eins og sjá má á útbreiðslukortinu virðast aðalbláberin vera ótrúlega sjaldgæf á Suðurlandi milli Ölfusár og Skeiðarár. Líklega leynast þau þó víðar in til fjalla á þessu svæði en kortið sýnir. Gott væri að fá nánari upplýsingar um það frá þeim sem til þekkja. Aðalbláberjalyngið má finna allvíða upp að 700 m hæð á Tröllaskaga, hæst skráð á Barkárdalsbrúnum í 880 m, Skessuhrygg við Höfðahverfi og Glerárdalsbotni við Akureyri í 750 m, og Fögruhlíð við Langjökul í 720 m. Tveir aðgreindir stofnar eru af aðalbláberjalyngi á Íslandi, annar með bláum berjum, en hinn með nær svörtum berjum. Bragðmunur er á þessum tvenns konar berjum. Blóm aðalbláberjalyngsins eru um 6-8 mm í þvermál, fimmdeild. Krónan er rauðgræn eða bleikrauð, belgvíð og þröng í opið, með fimm afturbeygðar, grænleitar tennur að framan. Bikarinn er skífulaga, flipalaus, fjólublár. Fræflar eru tíu, frjóhnappar appelsínugulir. Ein fræva með einum stíl. Aldinin eru ýmist dökkblá, nær svört, eða ljósari og bládöggvuð af þunnu vaxlagi sem auðveldlega strýkst af, um 1 sm í þvermál. Stöngulgreinar eru grænar, hvassstrendar, blöðin stakstæð, fínsagtennt, 10-20 mm á lengd, og 7-12 mm á breidd, ganga oftast fram í V-laga odd. Aðalbláberjalyng líkist nokkuð bláberjalyngi, en þekkist auðveldlega á oddmjóum, tenntum laufblöðum, og grænum strendum stöngli. Bláberjalyngið hefur heilrend laufblöð, ávöl að framan og brúna, viðarkennda stöngla. . Blóm aðalbláberjalyngsins eru um 6-8 mm í þvermál, fimmdeild. Krónan er rauðgræn eða bleikrauð, belgvíð og þröng í opið, með fimm afturbeygðar, grænleitar tennur að framan. Bikarinn er skífulaga, flipalaus, fjólublár. Fræflar eru tíu, frjóhnappar appelsínugulir. Ein fræva með einum stíl. Aldinin eru ýmist dökkblá, nær svört, eða ljósari og bládöggvuð af þunnu vaxlagi sem auðveldlega strýkst af, um 1 sm í þvermál. Stöngulgreinar eru grænar, hvassstrendar, blöðin stakstæð, fínsagtennt, 10-20 mm á lengd, og 7-12 mm á breidd, ganga oftast fram í V-laga odd. Aðalbláberjalyng líkist nokkuð bláberjalyngi, en þekkist auðveldlega á oddmjóum, tenntum laufblöðum, og grænum strendum stöngli. Bláberjalyngið hefur heilrend laufblöð, ávöl að framan og brúna, viðarkennda stöngla.",distribution,Hörður Kristinsson,is,Unknown
http://www.floraislands.is/stellgra.html,"er nýlegur í landinu, innfluttur snemma á tuttugustu öldinni. Hann hefur breiðst tiltölulega hratt út um sveitir landsins, en finnst varla nema í nágrenni byggðra bóla. Hann vex einkum í graslendi, túnjöðrum og brautarskurðum. Hæst yfir sjó hefur hann verið skráður í um 300 m í Mývatnssveit og Stórahversmó á Þeistareykjum. Blómin eru 10-14 mm í þvermál. Krónublöðin eru hvít, fimm að tölu, en klofin nærri niður í gegn svo að þau virðast tíu. Bikarblöðin eru þrítauga með breiðum himnufaldi. Fræflar eru tíu með rauðbrúnum frjó-hnöppum. Frævan er með þrem til fjórum stílum. Háblöðin eru himnukennd með randhárum neðst. Stönglarnir eru grannir, ferstrendir, marggreindir með gagnstæðum stilklausum blöðum sem eru frammjó og breiðfætt, 15-20 mm á lengd. .",distribution,Hörður Kristinsson,is,Unknown
http://www.floraislands.is/lamiupur.html,"Akurtvítönn (Lamium purpureum) er slæðingur með purpurarauðum blómum, og finnst hún nokkuð oft inni í bæjum og í byggð, meðal annars á höfuðborgarsvæðinu, þótt ekki geti hún talizt algeng. Akurtvítönnin er einær jurt, blómin allmörg saman í þéttstæðum blaðöxlum efst á plöntunni. Krónan er 10-15 mm á lengd, loðin að utan og varaskipt. Bikarfliparnir eru oddmjóir, nær striklaga, hærðir, gleiðir og útstæðir. Í blómunum eru fjórir fræflar og ein fræva með tvíklofnu fræni. Stöngullinn er áberandi ferstrendur. Blöðin eru gagnstæð, þéttust efst, stilkuð, 1-4 sm í þvermál, blaðkan hjartalaga eða nýrlaga, gróftennt. .",distribution,Hörður Kristinsson,is,Unknown
http://www.floraislands.is/lupinnoo.html,"er stórvaxin innflutt jurt, sem hefur verið gróðursett víða, bæði í skógræktarlöndum, á landgræðslusvæðum, við sumarbústaði og á víðavangi. Hún breiðist töluvert út af sjálfsdáðum með fræjum. Lúpínan er mjög öflug landgræðslujurt, og getur grætt upp víðáttumiklar auðnir á skömmum tíma í höndum þeirra sem með hana kunna að fara. Á hinn bóginn ber að varast að setja hana í eða nálægt grónu landi, sem mönnum er annt um, því ef hún kemst í mólendi leggur hún það undir sig smátt og smátt og eyðir úr því öllum gróðri. Blómin lúpínunnar eru mörg saman í 20-30 sm löngum klasa, blómleggirnir eru loðnir, um 1 sm á lengd. Krónan er 5-deild, óregluleg, að mestu blá eða fjólublá, efsta krónublaðið, fáninn, með aftursveigðum hliðum, rauður að framan með smáum, svörtum dílum, vængirnir hylja tvö neðstu krónublöðin, sem eru samvaxin í kjöl með háu, dökkfjólubláu stefni. Bikarinn er loðinn. Fræflar eru 10, allir samvaxnir í hólk neðan til, uppsveigðir í endann með fagurgulum frjóhirslum. Frævan er með einum stíl, verður að 2-5 sm löngum, loðnum belg við þroskun. Blöðin eru langstilkuð, fingruð, með 7-8 öfuglensulaga smáblöðum; bæði stilkur og smáblöð eru hærð. Fljótt á litið líkist alaskalúpínan nokkuð garðalúpínu, tegund sem er ræktuð í görðum, en hefur sums staðar verið gróðursett utan garða þar sem hún dreifir sér nokkuð. Garðalúpínan þekkist þó auðveldlega frá alaskalúpínunni á því að hún hefur miklu fleiri smáblöð í hverjum blaðkransi, oftast 13-15, en alaskalúpínan hefur aðeins 7-8. Garðalúpínan getur verið blá eins og alaskalúpínan, en einnig eru til af henni rauð, bleik og hvít litarafbrigði. Garðalúpínan blómstrar seinna og er ekki eins harðgerð og alaskalúpínan. .",distribution,Hörður Kristinsson,is,Unknown
http://www.floraislands.is/salixala.html,"Alaskavíðir (Salix alaxensis) er innfluttur, hávaxinn víðir sem mikið hefur verið notaður í skjólbelti víða um land. Þar sem bæði kynin ná saman, þroskar hann vel fræ og sáir sér nokkuð út um hagann. Blöð alaskavíðisins eru aflöng eða öfuglensulaga, græn á efra borðimeð niðurbeygðum jaðri, en þétt hvítloðin á neðra borði sem virðist því snjóhvítt. Í vindi verður hinn mismunandi litur blaðanna á efra og neðra borði mjög áberandi. Blöðin eru 7-15 sm á lengd, 2-4 sm á breidd, stuttstilkuð, sitja á stuttu, breiðfættu, gulgrænu slíðri. Axlablöð áberandi, lensulaga, 1-2 sm á lengd. Greinarnar grábrúnar eða brúnar, ársprotarnir gildvaxnir, oft 5-7 mm þykkir, kafloðnir gráum ullhárum sem eru mjög áberandi á veturna. Blómin í 3-7 sm löngum reklum, einkynja, rekilhlífarnar grænar neðst, rauðleitar ofar en svartar í endann, með löngum, hvítum hárum. Fræni kvenblómanna dökkrauð, fjórklofin, á ljósgrænum stíl, frævan loðin. Alaskavíðirinn vex fremur hratt og myndar oft mjög langa ársprota. Alaskavíðirinn hefur þann kost í skjólbeltum að vaxa hratt. Hins vegar vilja bolirnir verða ákaflega valtir og detta út af með aldrinum þegar þeir eru orðnir stórir. Útbreiðslukortið hér að neðan sýnir staði þar sem vitað er um alaskavíði sjálfsáinn. .",distribution,Hörður Kristinsson,is,Unknown
http://www.floraislands.is/popultri.html,"er innflutt trjátegund, sem kom fyrst til landsins um miðja síðustu öld. Hún er ákaflega hraðvaxta og er sums staðar á landinu orðin meir en 20 metrar á hæð og getur myndað feiknar svera boli. Strax um 1990 varð þess vart að hún er farin að sá sér frjálslega, einkum fær hún set á röskuðum svæðum, t. d. meðfram nýgerðum vegum og víðar. Hún myndar einnig mikið af rótarskotum, sem jafnan koma upp í nokkurra metra fjarlægð frá móðurplöntunni. Fræin eru hins vegar svo sviflétt að þau svífa langar leiðir og sáðplöntur koma oft upp í nokkur hundruð metra eða kílómetra fjarlægð frá móðurplöntunum. Ný kynslóð af sjálfsánum öspum er sums staðar búnar að ná yfir 2 m hæð. Þetta tré mun því fjölga sér og dreifast í íslenzkri náttúru á komandi árum. Öspin blómstrar rétt í byrjun laufgunar, í apríl eða maí eftir árferði. Myndin af þrískiptum bol alaskaaspar er tekin á Arnarhóli í Kaupangs-sveit 1. maí 2007. Börkur alaskaaspar er grábrúnn, yngri sprotar rauðbrúnir, hárlausir, og ársprotar eru grænleitir. Blöðin eru fagurgræn, gljáandi á efra borði en lítið eitt ljósari neðan, hárlaus, egglaga og odddregin eða hjartalaga, heilrend, 8-18 sm löng en 5-12 sm breið, oft límkennd og sitja á gulgrænum eða bleikleitum, 2-5 sm löngum stilk. Karlblómin eru í 5-8 sm löngum reklum, frjóhirzlur í fyrstu rauðar en síðar gulbrúnar til fjólubláar. Kvenblómin eru í 10-20 sm löngum reklum sem oft losna af eftir fræfall. Fræin örsmá, svífa langar leiðir á dúnmjúkum ullar-hnoðrum. . Myndin af þrískiptum bol alaskaaspar er tekin á Arnarhóli í Kaupangs-sveit 1. maí 2007. Börkur alaskaaspar er grábrúnn, yngri sprotar rauðbrúnir, hárlausir, og ársprotar eru grænleitir. Blöðin eru fagurgræn, gljáandi á efra borði en lítið eitt ljósari neðan, hárlaus, egglaga og odddregin eða hjartalaga, heilrend, 8-18 sm löng en 5-12 sm breið, oft límkennd og sitja á gulgrænum eða bleikleitum, 2-5 sm löngum stilk. Karlblómin eru í 5-8 sm löngum reklum, frjóhirzlur í fyrstu rauðar en síðar gulbrúnar til fjólubláar. Kvenblómin eru í 10-20 sm löngum reklum sem oft losna af eftir fræfall. Fræin örsmá, svífa langar leiðir á dúnmjúkum ullar-hnoðrum.",distribution,Hörður Kristinsson,is,Unknown
http://www.floraislands.is/subulaqu.html,"Alurt (Subularia aquatica) er afar smávaxin, einær vatnajurt af krossblómaætt. Hún hefur striklaga, oddmjó blöð og smávaxin hvít blóm og er afar fljót að mynda fullþroskuð fræ. Hún vex í grunnum tjarnabotnum, á grynningum við strendur stöðuvatna og í leirflögum sem að hluta koma upp úr vatni síðari hluta sumars. Alurtin er víða við aðgrunn vötn um mestan hluta landsins, þó sjaldan ofan 400 m. Hæst skráð í Ámundabotnum á Skaftártungnaafrétti í 490 m. .",distribution,Hörður Kristinsson,is,Unknown
http://www.floraislands.is/mimulgut.html,"er innflutt tegund sem ræktuð hefur verið til skrauts í skrúðgörðum. Hún virðist vera mjög harðgerð, og ef hún sleppur út úr görðum út í læki eða votlendi, þá breiðist hún auðveldlega út og lifir af hina íslensku veðráttu án umhirðu. Hún hefur þegar á allmörgum stöðum úti um landið myndað nokkrar staðbundnar breiður. Blómin eru fagurgul með mörgum, dökkrauðum punktum. Þau eru pípulaga neðan til en breiða úr sér og eru varaskipt efst. Bikarinn er 1,5-2 sm á lengd, grænn, skakkur, tenntur, og er efsta bikartönnin stæri en hinar. Laufblöðin eru egglaga til hjartalaga, 5-6 sm löng, hárlaus og óreglulega gróftennt, þau neðri stuttstilkuð. Auk tegundarinnar Mimulus guttatus er tegundin Mimulus luteus einnig í ræktun hér, og þær blandast einnig auðveldlega og mynda kynblendinga. Vera má að sumar þær plöntur sem dreifst hafa út í náttúruna tilheyri þeirri tegund fremur en M. guttatus. .",distribution,Hörður Kristinsson,is,Unknown
http://www.floraislands.is/violaarv.html,"Arfafjóla (Viola arvensis) er afar sjaldséður slæðingur á Íslandi. Hún hefur sést á örfáum stöðum á ýmsum tímum, en hvergi numið land enn sem komið er svo vitað sé. Síðast sást hún vorið 2009 í sáningum við skógræktarstíg utan við Fossá í Hvalfirði. Þangað hefur hún væntanlega borizt með illa hreinsuðu grasfræi. Arfafjólan líkist þrílitu fjólunni, Viola tricolor, en er frábrugðin að því leyti að hún hefur nær alhvít blóm með gulu í miðju, og einnig er hún með mun lengri bikarblöð, og standa þau út undan krónunni. Hún er auk þess einær, en þrenningarfjólan er fjölær. .",distribution,Hörður Kristinsson,is,Unknown
http://www.floraislands.is/erysihie.html,"er stórvaxin jurt sem vex einkum í klettum, oft við hreiðurstaði fugla, eða í hólmum úti í vötnum. Hann er mjög áberandi í Mývatnssveit, og vex þar hvarvetna meðfram ströndum vatnsins, í eyjunum, og jafnvel meðfram vegum og heima við bæi. Af þeim ástæðum hefur hann stundum verið nefndur Mývatns-drottning. Hann virðist vera sjaldgæfur á Suðurlandi austan Ölfusár og á Austurlandi. Auk hinna náttúrlegu vaxtarstaða finnst hann alloft sem slæðingur meðfram vegum og á þéttbýlisstöðum. Blóm aronsvandarins eru fjórdeild og vaxa í klösum út úr blaðöxlunum. Krónublöðin eru gul, aflöng, 7-9 mm á lengd, en bikarblöðin græn, 4-5 mm. Í blómunum eru 6 fræflar og ein fræva eins og venja er í krossblómaætt. Stöngullinn er gáróttur, blöðin stakstæð, lensulaga, gistennt, með gisnum kvísl- eða stjörnuhárum, 2-6 sm á lengd eða lengri. .",distribution,Hörður Kristinsson,is,Unknown
